provenance,postcode,price,street_name,bedroom_number,crimerank
onthemarket_0,M3 1DY,179950,Mirabel Street,2,1467
onthemarket_1,M3 1NN,225000,Mirabel Street,2,1467
onthemarket_2,M3 4BB,234950,Potato Wharf,2,23205
onthemarket_3,M1 5ND,462500,Whitworth Street West,2,4783
onthemarket_4,M1 5WG,289950,Whitworth Street West,2,4783
onthemarket_5,M1 5NG,250000,Whitworth Street West,2,4783
onthemarket_6,M4 1HP,329950,High Street,3,34
onthemarket_7,M1 5DD,462500,Whitworth Street West,2,4783
onthemarket_8,M1 5BY,182500,Cambridge Street,2,2461
onthemarket_9,M1 5NP,197500,New Wakefield Street,2,2461
onthemarket_10,M15 4TL,182500,City Road,2,3182
onthemarket_11,M1 2JN,175000,Ducie Street,2,1245
onthemarket_12,M3 3AT,399950,Hardman Street,2,9783
onthemarket_13,M3 3AA,285000,Hardman Street,2,9783
onthemarket_14,M3 3HF,209950,Hardman Street,1,9783
onthemarket_15,M1 7DP,13000,Parking Space,onthemarket_null_0,2892
onthemarket_16,M3 4JJ,165000,Woollam Place,2,23205
onthemarket_17,M15 4QE,182500,City Road East,2,796
onthemarket_18,M1 2JQ,185000,Ducie Street,2,1245
onthemarket_19,M3 4AN,193500,Lower Byrom Street,2,23205
onthemarket_20,M3 4AP,153000,Lower Byrom Street,1,23205
onthemarket_21,M3 4NJ,179500,Southern Street,2,796
onthemarket_22,M1 3DA,145000,Aytoun Street,1,708
onthemarket_23,M4 1PE,129950,Church Street,1,9783
onthemarket_24,M1 5QJ,92500,Lower Ormond Street,onthemarket_null_1,209
onthemarket_25,M1 7AB,127950,Granby Row,1,209
onthemarket_26,M1 7BD,123999,Charles Street,1,2461
onthemarket_27,M1 1FT,125000,Newton Street,1,708
onthemarket_28,M4 1ED,159950,High Street,2,9783
onthemarket_29,M4 1HQ,164950,High Street,2,34
onthemarket_30,M4 1FS,174950,High Street,2,753
onthemarket_31,M3 4EP,1350,Watson Street,2,4783
onthemarket_32,M3 4EH,1400,Watson Street,2,4783
onthemarket_33,M1 5BD,1600,Whitworth Street West,2,4783
onthemarket_34,M1 5WQ,2250,Whitworth Street West,3,12168
onthemarket_35,M2 4AD,125000,Booth Street,1,9783
onthemarket_36,M3 2BW,1650,Deansgate,2,9783
onthemarket_37,M3 4LY,1395,Deansgate,2,15184
onthemarket_38,M3 5NA,1495,The Edge,2,
onthemarket_39,M1 3DB,1395,Aytoun Street,2,708
onthemarket_40,M3 4NA,20000,Collier Street,onthemarket_null_2,15184
onthemarket_41,M2 4WU,2850,King Street,2,9783
onthemarket_42,M2 4LQ,2200,King Street,2,9783
onthemarket_43,M3 3BZ,1795,Bridge Street,2,9783
onthemarket_44,M8 0LA,1225,Jewel House,1,1589
onthemarket_45,M1 2WH,240000,Chapeltown Street,3,7263
onthemarket_46,M3 1PJ,134950,Mirabel Street,1,1467
onthemarket_47,M3 4LP,1595,Watson Street,2,4783
onthemarket_48,M3 4EF,1400,Watson Street,2,4783
onthemarket_49,M3 1NG,1300,Mirabel Street,3,1467
belvoir_0,M22 0AD,149950,Hazelwood Road,2,13187
belvoir_1,M21 0YA,575000,Withington Road,5,14965
belvoir_2,M16 8FS,180000,Range Road,2,8079
belvoir_3,M16 0DZ,195000,Manchester Road,2,5726
belvoir_4,M16 0DZ,195000,Manchester Road,2,5726
belvoir_5,M16 0BU,465000,Strathmore Avenue,4,5726
belvoir_6,M16 9NH,240000,Ayres Road,4,
belvoir_7,M13 0RH,100000,Barton Road,2,1470
belvoir_8,M13 0RH,380825,Blossom Street,3,1470
belvoir_9,M21 0AU,425000,Warwick Road,3,10595
belvoir_10,M21 8DN,385000,Hardy Lane,3,4966
belvoir_11,M21 8DN,375000,Hardy Lane,3,4966
belvoir_12,M22 4JZ,125000,Pepper Close,2,4209
belvoir_13,M15 6AZ,147500,Denmark Road,2,1755
belvoir_14,M16 0DZ,200000,Manchester Road,2,5726
belvoir_15,M9 7HQ,112000,Spindletree Ave,2,11291
belvoir_16,M1 5WQ,259995,Whitworth Street West,2,12168
belvoir_17,M9 7JA,125000,Capricorn Road,2,16455
belvoir_18,M21 7WH,110000,Maitland Avenue,2,5107
belvoir_19,M13 0RH,169950,Water Street,2,1470
belvoir_20,M4 1PE,395000,Church Street,2,9783
belvoir_21,M43 7SP,79000,Holly Bank,2,
belvoir_22,M4 4BJ,140000,Sharp Street,2,753
belvoir_23,M6 6LS,48500,Broughton Road,1,
belvoir_24,M4 4TG,86000,Ludgate Hill,belvoir_null_182,12320
belvoir_25,M16 8HA,675,Spring Bridge Road,2,14965
belvoir_26,M1 6HR,115000,Princess Street,1,708
belvoir_27,M1 5TF,200000,Lower Chatham Street,2,2461
belvoir_28,M15 4QG,265000,Chester Road,2,15184
belvoir_29,M16 0DZ,210000,Manchester Road,2,5726
belvoir_30,M16 0DZ,210000,Manchester Road,2,5726
belvoir_31,M16 0DZ,210000,Manchester Road,2,5726
belvoir_32,M35 0AX,79500,Brown Street,2,
belvoir_33,M5 3WJ,99950,Ordsall Lane,2,
belvoir_34,M14 5BB,585,Hope Road,1,5904
belvoir_35,M5 3NB,110000,Ordsall Lane,2,
belvoir_36,M4 4BZ,125000,Sharp Street,2,12320
belvoir_37,M15 4TD,160000,City Road East,2,12168
belvoir_38,M19 2LZ,995,Burnside Drive,3,6941
belvoir_39,M6 7DZ,695,Chasley Road,1,
belvoir_40,M9 8QB,725,Lakeside Rise,3,4731
belvoir_41,M21 9JN,825,Edge Lane,2,14724
belvoir_42,M4 1PN,860,Church Street,2,34
belvoir_43,M35 0DF,550,Grimshaw Street,4,
belvoir_44,M1 3PW,1550,Brazil Street,2,708
belvoir_45,M9 8AS,550,"Hilbury Avenue,",2,2156
belvoir_46,M4 4FQ,950,Lord Street,2,17255
belvoir_47,M18 7TP,650,Hamsterley Avenue,3,6408
belvoir_48,M4 6AH,950,Radium Street,2,733
belvoir_49,M9 8DR,395,Old School Drive,1,3074
belvoir_50,M6 7DZ,975,Chaseley Road,2,
belvoir_51,M15 6BN,375,Cavendish Street,1,8522
belvoir_52,M9 8QA,600,Bellfield Close,2,3074
belvoir_53,M21 0RD,1400,Manley Road,4,2417
belvoir_54,M8 4NA,500,Middleton Road,2,176
belvoir_55,M13 0RH,775,Water Street,2,1470
belvoir_56,M9 7HQ,575,Spindletree Avenue,2,11291
belvoir_57,M13 9DP,1300,Lauderdale Crescent,4,12632
belvoir_58,M4 4BW,750,Ludgate Hill,2,12320
belvoir_59,M16 8AU,895,Railton Avenue,3,4203
belvoir_60,M14 5BB,795,Hope Road,3,5904
belvoir_61,M13 0RH,750,Navigation Street,1,1470
belvoir_62,M13 0RH,895,Navigation Street,2,1470
belvoir_63,M4 4BW,775,Ludgate Hill,2,12320
belvoir_64,M21 7BD,1150,Chelsfield Grove,4,5044
belvoir_65,M1 3DA,1200,Aytoun Street,2,708
belvoir_66,M15 6FD,1100,Boundry Lane,3,6906
belvoir_67,M14 5RH,925,"Upper Park Road,",3,2823
belvoir_68,M1 5DD,2700,Whitworth Street West,2,4783
belvoir_69,M13 0RH,3500,Blossom Street,3,1470
belvoir_70,M14 5BB,650,Hope Road,2,5904
belvoir_71,M15 5AX,775,Greenheys Lane West,2,3277
belvoir_72,M1 5BD,1200,Whitworth Street West,2,4783
belvoir_73,M1 6BD,1100,Princess Street,2,2461
